customer_id,claim_id,policy_id,claim_date,incident_type,fault_status,claim_amount,settlement_amount,claim_status,reported_by,injury_involved,repair_shop
CUST000001,CLM000001,POL000460,18/06/2022,Collision,At Fault,23466,22411,Closed,Third Party,No,Approved Network
CUST000002,CLM000002,POL000921,25/08/2021,Flood,Not At Fault,11755,9639,Closed,Policyholder,Yes,Approved Network
CUST000003,CLM000003,POL001126,30/04/2023,Other,Not At Fault,11820,0,Open,Policyholder,No,Approved Network
CUST000004,CLM000004,POL001039,29/07/2022,Other,At Fault,2716,0,Pending,Other,No,Approved Network
CUST000005,CLM000005,POL000748,01/11/2022,Theft,At Fault,6201,0,Pending,Policyholder,Yes,Approved Network
CUST000006,CLM000006,POL000051,04/09/2022,Hail,At Fault,24901,23924,Closed,Policyholder,Yes,Write Off
CUST000007,CLM000007,POL000309,25/02/2022,Other,Disputed,19492,16902,Closed,Police,No,Approved Network
CUST000008,CLM000008,POL001058,16/11/2023,Collision,At Fault,12280,0,Denied,Policyholder,No,Approved Network
CUST000009,CLM000009,POL001005,14/11/2023,Collision,Disputed,11194,10053,Closed,Policyholder,Yes,Customer Choice
CUST000010,CLM000010,POL000635,30/04/2023,Collision,At Fault,5309,0,Pending,Policyholder,Yes,Approved Network
CUST000011,CLM000011,POL000205,14/07/2021,Collision,Not At Fault,23229,0,Open,Policyholder,No,Approved Network
CUST000012,CLM000012,POL000740,26/02/2023,Other,Not At Fault,17062,14846,Closed,Policyholder,No,Approved Network
CUST000013,CLM000013,POL001094,22/03/2023,Vandalism,At Fault,14892,0,Pending,Other,Yes,Approved Network
CUST000014,CLM000014,POL001254,29/07/2021,Other,Not At Fault,8271,7519,Closed,Third Party,No,Approved Network
CUST000015,CLM000015,POL000533,29/06/2023,Flood,At Fault,24855,23181,Closed,Third Party,No,Approved Network
CUST000016,CLM000016,POL000108,19/08/2023,Fire,At Fault,2429,0,Denied,Policyholder,Yes,Customer Choice
CUST000017,CLM000017,POL000876,06/02/2022,Vandalism,Not At Fault,14806,0,Pending,Policyholder,No,Approved Network
CUST000018,CLM000018,POL001265,18/05/2023,Collision,At Fault,19432,16530,Closed,Policyholder,Yes,Approved Network
CUST000019,CLM000019,POL000251,19/09/2023,Other,Not At Fault,21718,19367,Closed,Policyholder,Yes,Approved Network
CUST000020,CLM000020,POL000135,27/12/2022,Theft,At Fault,14744,14236,Closed,Policyholder,Yes,Approved Network
CUST000021,CLM000021,POL001114,09/06/2021,Vandalism,At Fault,611,0,Pending,Policyholder,No,Approved Network
CUST000022,CLM000022,POL001464,06/11/2021,Collision,Not At Fault,11911,0,Denied,Policyholder,No,Customer Choice
CUST000023,CLM000023,POL000689,22/10/2023,Other,Not At Fault,24832,0,Pending,Policyholder,No,Write Off
CUST000024,CLM000024,POL001322,16/09/2021,Other,At Fault,17598,0,Pending,Other,Yes,Customer Choice
CUST000025,CLM000025,POL000407,25/03/2022,Theft,Not At Fault,11616,0,Open,Policyholder,Yes,Approved Network
CUST000026,CLM000026,POL001332,20/06/2022,Vandalism,At Fault,22918,0,Pending,Third Party,No,Write Off
CUST000027,CLM000027,POL000102,10/11/2021,Flood,Disputed,16207,0,Pending,Policyholder,Yes,Approved Network
CUST000028,CLM000028,POL001385,05/01/2023,Collision,At Fault,18265,0,Pending,Policyholder,No,Approved Network
CUST000029,CLM000029,POL000693,14/07/2022,Collision,At Fault,3627,3120,Closed,Policyholder,No,Approved Network
CUST000030,CLM000030,POL001317,23/10/2023,Fire,Not At Fault,13600,0,Denied,Policyholder,No,Customer Choice
CUST000031,CLM000031,POL001170,14/08/2021,Collision,At Fault,24367,0,Open,Policyholder,Yes,Approved Network
CUST000032,CLM000032,POL000404,15/01/2022,Theft,At Fault,11703,10143,Closed,Policyholder,No,Customer Choice
CUST000033,CLM000033,POL000814,03/07/2022,Theft,At Fault,1708,1543,Closed,Police,Yes,Customer Choice
CUST000034,CLM000034,POL001026,13/11/2023,Collision,Disputed,11817,11022,Closed,Policyholder,No,Approved Network
CUST000035,CLM000035,POL001143,17/09/2022,Collision,Disputed,536,521,Closed,Policyholder,No,Customer Choice
CUST000036,CLM000036,POL000855,17/04/2023,Collision,Not At Fault,18712,0,Pending,Policyholder,No,Approved Network
CUST000037,CLM000037,POL001215,04/09/2021,Collision,Not At Fault,11752,11384,Closed,Policyholder,No,Approved Network
CUST000038,CLM000038,POL001027,24/05/2022,Theft,Not At Fault,20225,0,Open,Third Party,No,Approved Network
CUST000039,CLM000039,POL000942,21/09/2022,Fire,Not At Fault,7506,0,Open,Policyholder,Yes,Customer Choice
CUST000040,CLM000040,POL001021,23/09/2022,Other,At Fault,15567,0,Pending,Policyholder,Yes,Approved Network
CUST000041,CLM000041,POL000177,20/03/2023,Collision,Disputed,24559,22026,Closed,Policyholder,No,Customer Choice
CUST000042,CLM000042,POL001281,30/11/2022,Other,At Fault,5847,0,Open,Third Party,No,Write Off
CUST000043,CLM000043,POL000873,16/09/2023,Collision,At Fault,24774,21156,Closed,Policyholder,No,Write Off
CUST000044,CLM000044,POL000477,20/09/2022,Vandalism,Disputed,1309,1183,Closed,Police,No,Approved Network
CUST000045,CLM000045,POL000398,20/09/2021,Theft,Not At Fault,4618,0,Pending,Policyholder,Yes,Approved Network
CUST000046,CLM000046,POL000220,27/08/2021,Vandalism,At Fault,18410,0,Pending,Third Party,No,Approved Network
CUST000047,CLM000047,POL000173,02/12/2021,Flood,At Fault,13583,0,Pending,Police,No,Customer Choice
CUST000048,CLM000048,POL000736,20/06/2023,Collision,Not At Fault,17379,16127,Closed,Third Party,Yes,Write Off
CUST000049,CLM000049,POL001414,19/09/2021,Collision,Not At Fault,13687,11354,Closed,Policyholder,No,Customer Choice
CUST000050,CLM000050,POL000502,12/07/2022,Other,Not At Fault,924,815,Closed,Policyholder,No,Approved Network
CUST000051,CLM000051,POL000761,27/07/2023,Collision,At Fault,19631,16569,Closed,Policyholder,No,Approved Network
CUST000052,CLM000052,POL001284,18/08/2022,Collision,Disputed,2482,0,Open,Policyholder,No,Customer Choice
CUST000053,CLM000053,POL000131,22/12/2021,Collision,At Fault,18352,18330,Closed,Policyholder,No,Approved Network
CUST000054,CLM000054,POL001137,17/07/2022,Collision,Not At Fault,24612,0,Open,Third Party,No,Approved Network
CUST000055,CLM000055,POL000798,03/05/2022,Theft,Not At Fault,16418,0,Denied,Policyholder,No,Customer Choice
CUST000056,CLM000056,POL000799,06/08/2021,Theft,At Fault,23654,0,Pending,Policyholder,No,Approved Network
CUST000057,CLM000057,POL000930,21/04/2022,Collision,At Fault,15898,0,Open,Third Party,Yes,Approved Network
CUST000058,CLM000058,POL000723,17/05/2022,Collision,Disputed,12492,10886,Closed,Policyholder,Yes,Approved Network
CUST000059,CLM000059,POL001044,09/02/2023,Flood,Disputed,1733,0,Denied,Third Party,Yes,Approved Network
CUST000060,CLM000060,POL000215,11/10/2022,Flood,At Fault,10489,8456,Closed,Police,No,Customer Choice
CUST000061,CLM000061,POL001334,04/01/2022,Other,Disputed,15046,0,Pending,Police,No,Approved Network
CUST000062,CLM000062,POL001275,21/05/2023,Other,At Fault,9256,8474,Closed,Third Party,Yes,Customer Choice
CUST000063,CLM000063,POL000488,30/06/2023,Other,Not At Fault,3519,0,Pending,Policyholder,Yes,Approved Network
CUST000064,CLM000064,POL001406,01/10/2022,Flood,At Fault,1804,0,Pending,Policyholder,No,Approved Network
CUST000065,CLM000065,POL001433,26/09/2021,Vandalism,Disputed,24918,0,Open,Policyholder,No,Approved Network
CUST000066,CLM000066,POL001295,13/03/2022,Collision,At Fault,14644,13753,Closed,Policyholder,No,Approved Network
CUST000067,CLM000067,POL001431,09/09/2022,Vandalism,Not At Fault,17016,15078,Closed,Policyholder,No,Customer Choice
CUST000068,CLM000068,POL001218,10/07/2021,Collision,Not At Fault,17332,0,Denied,Third Party,No,Customer Choice
CUST000069,CLM000069,POL001465,11/12/2022,Other,At Fault,23291,0,Open,Policyholder,No,Approved Network
CUST000070,CLM000070,POL000313,07/11/2021,Theft,Not At Fault,10522,8851,Closed,Policyholder,No,Approved Network
CUST000071,CLM000071,POL000079,25/09/2022,Fire,At Fault,10850,8873,Closed,Third Party,Yes,Customer Choice
CUST000072,CLM000072,POL000180,28/10/2021,Collision,Not At Fault,12318,0,Pending,Policyholder,No,Approved Network
CUST000073,CLM000073,POL001004,18/03/2023,Theft,At Fault,1349,0,Pending,Policyholder,Yes,Approved Network
CUST000074,CLM000074,POL000675,05/01/2022,Collision,Not At Fault,22241,21888,Closed,Policyholder,Yes,Approved Network
CUST000075,CLM000075,POL000014,24/04/2022,Collision,Disputed,4462,0,Open,Third Party,No,Customer Choice
CUST000076,CLM000076,POL000859,03/01/2023,Collision,At Fault,5354,0,Open,Third Party,No,Approved Network
CUST000077,CLM000077,POL000246,03/07/2021,Collision,At Fault,2039,1785,Closed,Third Party,No,Approved Network
CUST000078,CLM000078,POL001038,06/02/2023,Theft,Not At Fault,18783,15431,Closed,Policyholder,No,Customer Choice
CUST000079,CLM000079,POL000099,02/08/2023,Theft,Not At Fault,3444,2943,Closed,Third Party,No,Write Off
CUST000080,CLM000080,POL000033,25/06/2022,Other,Disputed,21841,0,Denied,Policyholder,Yes,Approved Network
CUST000081,CLM000081,POL001460,03/08/2021,Theft,At Fault,22827,21123,Closed,Policyholder,Yes,Approved Network
CUST000082,CLM000082,POL000257,06/09/2023,Collision,At Fault,3744,0,Pending,Policyholder,No,Approved Network
CUST000083,CLM000083,POL000034,06/06/2022,Other,Not At Fault,23220,0,Open,Policyholder,No,Approved Network
CUST000084,CLM000084,POL000019,18/08/2023,Vandalism,Not At Fault,13755,0,Open,Policyholder,No,Approved Network
CUST000085,CLM000085,POL001284,15/08/2022,Theft,Not At Fault,2091,1900,Closed,Third Party,No,Approved Network
CUST000086,CLM000086,POL000589,28/09/2022,Theft,At Fault,24837,24401,Closed,Policyholder,Yes,Write Off
CUST000087,CLM000087,POL001440,05/01/2022,Hail,At Fault,16268,16226,Closed,Policyholder,Yes,Customer Choice
CUST000088,CLM000088,POL000137,26/07/2021,Collision,At Fault,8355,0,Pending,Policyholder,No,Approved Network
CUST000089,CLM000089,POL000359,03/01/2022,Collision,Disputed,24679,24067,Closed,Policyholder,No,Customer Choice
CUST000090,CLM000090,POL000754,06/11/2023,Flood,At Fault,20626,17222,Closed,Policyholder,No,Approved Network
CUST000091,CLM000091,POL001140,24/06/2021,Collision,Not At Fault,19011,0,Denied,Police,No,Approved Network
CUST000092,CLM000092,POL000404,17/07/2023,Other,Not At Fault,2101,2063,Closed,Police,No,Write Off
CUST000093,CLM000093,POL001226,02/05/2023,Theft,At Fault,13309,11575,Closed,Third Party,Yes,Write Off
CUST000094,CLM000094,POL001400,08/08/2022,Vandalism,At Fault,18106,0,Open,Third Party,No,Approved Network
CUST000095,CLM000095,POL000250,04/03/2022,Flood,Not At Fault,6190,0,Pending,Policyholder,No,Approved Network
CUST000096,CLM000096,POL000446,14/02/2022,Collision,At Fault,13021,0,Pending,Third Party,No,Approved Network
CUST000097,CLM000097,POL000954,13/03/2023,Other,At Fault,2342,0,Open,Policyholder,No,Approved Network
CUST000098,CLM000098,POL000278,28/11/2021,Other,At Fault,10983,9513,Closed,Policyholder,No,Customer Choice
CUST000099,CLM000099,POL000112,25/08/2021,Theft,Not At Fault,8558,0,Pending,Policyholder,No,Approved Network
CUST000100,CLM000100,POL001497,24/10/2021,Other,Disputed,14204,0,Denied,Policyholder,Yes,Approved Network
