policy_id,customer_id,policy_start_date,policy_end_date,vehicle_make,vehicle_model,vehicle_year,vehicle_value,coverage_type,annual_premium,deductible,policy_status
POL000001,CUST000690,28/05/2023,07/12/2023,Volkswagen,A4,2023,36113,Third Party Fire Theft,1977,500,Active
POL000002,CUST000575,12/12/2021,02/07/2022,Peugeot,3 Series,2015,20401,Third Party Fire Theft,1745,500,Cancelled
POL000003,CUST000165,10/01/2021,17/01/2022,BMW,Corolla,2015,17884,Third Party Fire Theft,506,750,Active
POL000004,CUST000383,04/10/2022,11/11/2024,Audi,A4,2015,23824,Third Party,411,500,Active
POL000005,CUST000209,20/05/2022,07/04/2024,Ford,Focus,2019,42563,Comprehensive,1740,1000,Expired
POL000006,CUST000224,30/03/2022,19/09/2022,Mercedes,A4,2016,39414,Third Party,2182,750,Active
POL000007,CUST000003,13/06/2023,26/08/2023,Volkswagen,208,2021,21142,Comprehensive,484,250,Expired
POL000008,CUST000372,21/07/2022,08/05/2022,Ford,Civic,2012,10956,Comprehensive,2064,250,Active
POL000009,CUST000611,07/01/2023,27/01/2024,Vauxhall,Golf,2023,18928,Third Party Fire Theft,1200,1000,Expired
POL000010,CUST000116,03/10/2021,19/04/2022,Nissan,3 Series,2015,14721,Comprehensive,520,1000,Active
POL000011,CUST000447,11/11/2022,02/01/2022,Peugeot,C-Class,2012,16157,Comprehensive,1767,1000,Active
POL000012,CUST000415,10/09/2023,06/01/2024,Toyota,Golf,2016,40135,Third Party Fire Theft,1393,1000,Active
POL000013,CUST001119,06/08/2023,13/08/2022,Vauxhall,Focus,2016,11696,Third Party Fire Theft,2312,750,Active
POL000014,CUST000892,02/07/2023,01/08/2023,Toyota,Qashqai,2017,32862,Third Party Fire Theft,900,1000,Active
POL000015,CUST001048,05/01/2023,05/03/2022,Mercedes,Corolla,2011,10190,Comprehensive,1460,500,Active
POL000016,CUST000663,18/09/2022,27/04/2023,BMW,C-Class,2018,9663,Third Party,803,250,Active
POL000017,CUST001074,25/09/2023,03/06/2024,Audi,Focus,2022,44830,Comprehensive,2478,1000,Active
POL000018,CUST000718,11/08/2021,18/03/2024,Toyota,A4,2014,9331,Comprehensive,517,500,Active
POL000019,CUST001103,26/12/2021,14/10/2023,Vauxhall,Golf,2018,49648,Third Party Fire Theft,1798,1000,Active
POL000020,CUST001051,17/06/2021,23/02/2024,Ford,Golf,2019,33549,Comprehensive,911,500,Active
POL000021,CUST000271,29/07/2022,11/04/2024,Audi,A4,2014,21246,Third Party,1452,750,Active
POL000022,CUST000562,14/10/2021,21/02/2024,BMW,A4,2016,30761,Comprehensive,356,250,Active
POL000023,CUST000804,07/02/2022,10/06/2024,Toyota,Qashqai,2020,8262,Third Party,1504,250,Active
POL000024,CUST000247,24/06/2022,09/03/2023,Toyota,Focus,2018,12036,Comprehensive,545,750,Cancelled
POL000025,CUST000387,06/06/2021,22/12/2022,Mercedes,A4,2013,27322,Third Party Fire Theft,443,500,Active
POL000026,CUST000702,04/06/2021,30/08/2024,BMW,A4,2011,24131,Comprehensive,667,1000,Active
POL000027,CUST000559,08/02/2021,12/10/2022,Vauxhall,208,2018,9677,Comprehensive,1782,500,Active
POL000028,CUST000973,05/11/2023,21/01/2023,Mercedes,Corolla,2022,12972,Third Party,915,250,Expired
POL000029,CUST000984,05/03/2021,27/02/2024,Honda,Qashqai,2011,20329,Comprehensive,2181,750,Active
POL000030,CUST000352,10/04/2023,08/01/2024,Toyota,Golf,2012,42032,Third Party Fire Theft,1888,750,Expired
POL000031,CUST000753,12/03/2022,04/05/2024,Mercedes,3 Series,2019,40901,Comprehensive,998,500,Active
POL000032,CUST000781,17/03/2021,12/11/2022,Peugeot,Civic,2011,49380,Comprehensive,1175,500,Expired
POL000033,CUST001025,18/06/2022,14/08/2023,BMW,Focus,2012,25493,Third Party Fire Theft,1985,750,Active
POL000034,CUST000546,25/08/2023,15/09/2022,Volkswagen,Corsa,2015,23595,Third Party Fire Theft,1244,250,Active
POL000035,CUST000079,01/11/2021,03/10/2022,Vauxhall,Civic,2012,26923,Third Party,1222,1000,Active
POL000036,CUST000334,20/01/2023,24/01/2022,Volkswagen,Corsa,2019,14735,Comprehensive,2046,1000,Cancelled
POL000037,CUST000889,15/03/2023,27/05/2022,Nissan,A4,2017,39457,Third Party Fire Theft,324,500,Expired
POL000038,CUST001122,03/04/2022,02/02/2022,Audi,Focus,2020,47531,Third Party Fire Theft,1987,750,Active
POL000039,CUST001106,19/08/2022,22/10/2022,Honda,3 Series,2015,12727,Third Party,1859,750,Active
POL000040,CUST000502,02/10/2021,23/09/2024,Honda,A4,2016,12764,Third Party Fire Theft,1383,750,Active
POL000041,CUST000765,10/08/2023,13/06/2024,Toyota,3 Series,2010,32599,Comprehensive,733,250,Active
POL000042,CUST000921,24/10/2023,06/10/2022,Honda,Corsa,2012,5818,Third Party Fire Theft,1389,500,Active
POL000043,CUST000550,12/11/2023,23/06/2022,Mercedes,3 Series,2012,42289,Comprehensive,2251,500,Active
POL000044,CUST000014,05/07/2021,09/10/2022,Peugeot,208,2011,38892,Comprehensive,2453,500,Expired
POL000045,CUST000392,24/03/2023,01/05/2024,Peugeot,Qashqai,2016,10660,Comprehensive,395,250,Active
POL000046,CUST000310,16/01/2023,22/07/2024,Toyota,A4,2018,34521,Third Party Fire Theft,467,500,Active
POL000047,CUST000386,26/10/2023,21/05/2024,Vauxhall,A4,2013,43409,Comprehensive,2389,1000,Active
POL000048,CUST000974,22/01/2021,04/01/2023,Toyota,Qashqai,2021,39470,Comprehensive,2202,500,Cancelled
POL000049,CUST001118,05/05/2022,19/07/2024,Volkswagen,Corsa,2014,23385,Third Party,2451,500,Expired
POL000050,CUST001117,06/12/2021,09/11/2024,Peugeot,Corolla,2012,28296,Third Party Fire Theft,2168,500,Active
POL000051,CUST000340,19/11/2023,18/05/2024,BMW,Civic,2020,28616,Third Party Fire Theft,2298,250,Cancelled
POL000052,CUST000597,15/10/2021,10/07/2024,Toyota,C-Class,2018,31382,Third Party Fire Theft,1433,1000,Expired
POL000053,CUST000757,03/07/2023,27/02/2024,Toyota,3 Series,2023,16139,Third Party Fire Theft,2310,1000,Active
POL000054,CUST001046,23/11/2021,29/12/2023,Vauxhall,A4,2013,37060,Comprehensive,1048,750,Active
POL000055,CUST000291,02/01/2022,08/04/2023,Ford,A4,2014,27419,Third Party,2191,750,Cancelled
POL000056,CUST000306,27/10/2021,16/01/2023,Nissan,Corolla,2010,32785,Comprehensive,1130,1000,Active
POL000057,CUST000634,18/09/2023,19/05/2024,Volkswagen,3 Series,2020,20702,Comprehensive,348,500,Active
POL000058,CUST001152,05/01/2023,16/01/2022,Honda,208,2021,34217,Third Party Fire Theft,414,500,Active
POL000059,CUST000625,24/03/2021,17/10/2024,Audi,A4,2022,44291,Comprehensive,1478,500,Active
POL000060,CUST000939,25/03/2022,30/04/2023,BMW,C-Class,2011,17397,Third Party Fire Theft,1972,250,Cancelled
POL000061,CUST000848,26/09/2023,24/10/2024,Honda,C-Class,2021,45879,Comprehensive,370,500,Active
POL000062,CUST000442,20/04/2022,06/07/2023,Nissan,208,2022,40169,Third Party Fire Theft,1659,250,Active
POL000063,CUST000503,09/05/2021,21/04/2024,Nissan,Civic,2018,31940,Comprehensive,366,1000,Expired
POL000064,CUST000130,26/06/2022,22/01/2024,Vauxhall,A4,2011,47249,Comprehensive,1816,500,Active
POL000065,CUST001156,27/01/2023,10/03/2022,Mercedes,C-Class,2014,33341,Third Party Fire Theft,1973,500,Active
POL000066,CUST000597,25/04/2022,19/03/2022,Honda,Civic,2022,15067,Third Party,2077,750,Cancelled
POL000067,CUST000862,29/03/2021,16/09/2024,Toyota,Corsa,2017,18824,Comprehensive,1266,1000,Active
POL000068,CUST000593,28/02/2022,25/01/2024,Vauxhall,Golf,2012,18444,Third Party Fire Theft,2089,500,Active
POL000069,CUST000999,27/11/2023,20/08/2022,Honda,Corolla,2015,38307,Comprehensive,912,250,Active
POL000070,CUST000325,10/01/2023,13/09/2024,Mercedes,Corolla,2013,15974,Comprehensive,2186,1000,Active
POL000071,CUST001093,06/03/2023,13/06/2022,BMW,3 Series,2020,43383,Third Party Fire Theft,1922,750,Cancelled
POL000072,CUST000448,20/08/2023,18/10/2022,BMW,Civic,2016,34290,Third Party Fire Theft,996,1000,Active
POL000073,CUST000819,21/07/2023,14/12/2024,Mercedes,Civic,2019,21016,Third Party Fire Theft,1537,250,Active
POL000074,CUST001189,06/04/2021,27/07/2023,Audi,Corolla,2023,37112,Third Party Fire Theft,548,750,Active
POL000075,CUST000709,23/03/2021,10/08/2024,Nissan,Qashqai,2022,33513,Comprehensive,937,250,Active
POL000076,CUST000265,26/10/2022,24/11/2024,Toyota,208,2012,7956,Comprehensive,1249,1000,Expired
POL000077,CUST000612,31/07/2021,10/06/2022,Mercedes,Corolla,2015,13077,Third Party Fire Theft,2204,750,Expired
POL000078,CUST000832,04/12/2023,07/12/2024,Peugeot,3 Series,2021,41490,Third Party,1411,250,Cancelled
